Date;Produit;Region;Valeur
28/02/2022;DATTES BOUSTHAMI;Casablanca-Settat;30
28/02/2022;HARICOT SECS;Casablanca-Settat;18
28/02/2022;FEVEROLES;Casablanca-Settat;9
26/02/2022;ORANGES;Casablanca-Settat;2.5
26/02/2022;AUBERGINES;Casablanca-Settat;5
26/02/2022;ARTICHAUTS;Casablanca-Settat;4.5
26/02/2022;OIGNONS SECS;Casablanca-Settat;5
26/02/2022;PETITS POIS VERTS;Casablanca-Settat;14
26/02/2022;CAROTTES;Casablanca-Settat;3
26/02/2022;POMMES DE TERRE BLANCHES;Casablanca-Settat;3.7
26/02/2022;PAPAYA;Casablanca-Settat;9
26/02/2022;COURGETTES;Casablanca-Settat;3.8
26/02/2022;MANGUES;Casablanca-Settat;24
26/02/2022;CLEMENTINES;Casablanca-Settat;3.5
26/02/2022;BANANES IMPORTES;Casablanca-Settat;20
26/02/2022;BLE TENDRE;Casablanca-Settat;4
26/02/2022;MAùS LOCALE;Casablanca-Settat;5.5
26/02/2022;POIS CHICHE;Casablanca-Settat;15
26/02/2022;MAùS IMPORTê;Casablanca-Settat;4.5
26/02/2022;KAKI;Casablanca-Settat;21
26/02/2022;FEVES SECHES;Casablanca-Settat;10
26/02/2022;BLE DUR;Casablanca-Settat;5.7
26/02/2022;PIMENTS;Casablanca-Settat;15
26/02/2022;FEVES VERTES;Casablanca-Settat;3
26/02/2022;KIWI;Casablanca-Settat;25
26/02/2022;NAVETS;Casablanca-Settat;2.5
26/02/2022;CHOUX FLEURS;Casablanca-Settat;2.33
26/02/2022;OIGNONS FRAIS;Casablanca-Settat;2.5
26/02/2022;COINGS;Casablanca-Settat;6
26/02/2022;AVOCATS;Casablanca-Settat;16
26/02/2022;FEVEROLES;Casablanca-Settat;5
26/02/2022;POIVRONS VERTS;Casablanca-Settat;6
26/02/2022;BANANES LOCALES;Casablanca-Settat;7.25
26/02/2022;ORGE LOCALE;Casablanca-Settat;5
26/02/2022;FRAISES;Casablanca-Settat;15
26/02/2022;HARICOTS VERTS;Casablanca-Settat;17
26/02/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;3.5
26/02/2022;TOMATES;Casablanca-Settat;6
26/02/2022;POMMES IMPORTES;Casablanca-Settat;21
26/02/2022;LENTILLES;Casablanca-Settat;13
26/02/2022;CITRONS;Casablanca-Settat;3.5
26/02/2022;POMMES LOCALES;Casablanca-Settat;8.5
26/02/2022;HARICOT SECS;Casablanca-Settat;15
26/02/2022;PETITS POIS SECS;Casablanca-Settat;13
26/02/2022;CHOUX POMMES;Casablanca-Settat;3
26/02/2022;BETTERAVES ROUGE;Casablanca-Settat;2.15
26/02/2022;CONCOMBRES;Casablanca-Settat;4
24/02/2022;POMMES LOCALES;Casablanca-Settat;9
24/02/2022;TOMATES;Casablanca-Settat;5.66
24/02/2022;POMMES DE TERRE BLANCHES;Casablanca-Settat;3.8
24/02/2022;BLE TENDRE;Casablanca-Settat;4
24/02/2022;LENTILLES;Casablanca-Settat;10.5
24/02/2022;BANANES IMPORTES;Casablanca-Settat;19
24/02/2022;CONCOMBRES;Casablanca-Settat;5
24/02/2022;PETITS POIS SECS;Casablanca-Settat;8.5
24/02/2022;CITRONS;Casablanca-Settat;3.3
24/02/2022;OIGNONS SECS;Casablanca-Settat;4.3
24/02/2022;FEVES VERTES;Casablanca-Settat;3.5
24/02/2022;KIWI;Casablanca-Settat;26
24/02/2022;POIVRONS VERTS;Casablanca-Settat;5.5
24/02/2022;MAùS IMPORTê;Casablanca-Settat;3.6
24/02/2022;KAKI;Casablanca-Settat;25
24/02/2022;CHOUX FLEURS;Casablanca-Settat;3
24/02/2022;CAROTTES;Casablanca-Settat;2.8
24/02/2022;BLE DUR;Casablanca-Settat;4.5
24/02/2022;POIS CHICHE;Casablanca-Settat;12.5
24/02/2022;COURGETTES;Casablanca-Settat;3.3
24/02/2022;CLEMENTINES;Casablanca-Settat;3.3
24/02/2022;CHOUX POMMES;Casablanca-Settat;3.2
24/02/2022;AVOCATS;Casablanca-Settat;13
24/02/2022;MANGUES;Casablanca-Settat;24
24/02/2022;NAVETS;Casablanca-Settat;3
24/02/2022;POMMES IMPORTES;Casablanca-Settat;21
24/02/2022;ORGE IMPORTEE;Casablanca-Settat;3
24/02/2022;OIGNONS FRAIS;Casablanca-Settat;2.3
24/02/2022;FEVES SECHES;Casablanca-Settat;8
24/02/2022;BETTERAVES ROUGE;Casablanca-Settat;2.38
24/02/2022;ORGE LOCALE;Casablanca-Settat;4.5
24/02/2022;HARICOT SECS;Casablanca-Settat;15
24/02/2022;COINGS;Casablanca-Settat;6.5
24/02/2022;BANANES LOCALES;Casablanca-Settat;7.5
24/02/2022;AUBERGINES;Casablanca-Settat;5.5
24/02/2022;MAùS LOCALE;Casablanca-Settat;4.5
24/02/2022;POMMES DE TERRE ROUGES;Casablanca-Settat;3.7
24/02/2022;PIMENTS;Casablanca-Settat;14
24/02/2022;PAPAYA;Casablanca-Settat;9
